id,grant_title,group,count,mean,std,min,q1,total_amount,q3,max,box,min_nc,q1_nc,total_amount_nc,q3_nc,max_nc
63,"Education, Special",education,29224,0.773987408,0.49839111,0.5,0.529,0.623,0.826,19.66,0.297,0,2,8,20,1233
64,Electrochemistry,science,190279,0.973137099,1.387925377,0.5,0.561,0.684,0.96,139.791,0.3995,0,5,15,35,5713
65,Emergency Medicine,medicine,57292,0.771297129,0.583254246,0.5,0.517,0.602,0.804,23.24,0.2868,0,1,5,15,1050
66,Endocrinology & Metabolism,medicine,359417,0.931349074,1.208730649,0.5,0.566,0.682,0.942,212.588,0.3756,0,7,19,43,10860
67,Energy & Fuels,engineering,382409,0.919883018,1.111603853,0.5,0.507,0.632,0.919,96.874,0.412,0,1,8,27,3667
68,"Engineering, Aerospace",engineering,111422,0.789193079,1.183946771,0.5,0.5,0.553,0.75,238.29,0.25,0,0,2,8,7026
69,"Engineering, Biomedical",engineering,285062,0.816232304,1.033578099,0.5,0.5,0.575,0.78,106.333,0.2804,0,0,5,19,4952
70,"Engineering, Chemical",science,449173,0.887731442,0.916352309,0.5,0.541,0.655,0.91,111.174,0.3686,0,3,10,27,9379
71,"Engineering, Civil",building,280388,0.854597134,0.940538871,0.5,0.5,0.58,0.85,68.41,0.3495,0,0,3,15,2593
72,"Engineering, Electrical & Electronic",engineering,2089128,0.880048318,2.309104938,0.5,0.5,0.541,0.737,507.675,0.2372,0,0,2,8,16181
73,"Engineering, Environmental",engineering,219121,0.933122229,1.030438231,0.5,0.517,0.653,0.957,86.368,0.4394,0,1,11,33,5342
74,"Engineering, Geological",geography,68301,0.860252512,1.098948426,0.5,0.5,0.569,0.843,91.472,0.3431,0,0,3,15,1867
75,"Engineering, Industrial",engineering,159109,0.800980821,0.908680014,0.5,0.5,0.55,0.784,111.153,0.2836,0,0,2,12,2430
76,"Engineering, Manufacturing",engineering,183916,0.77563509,0.775054868,0.5,0.5,0.542,0.759,66.053,0.2589,0,0,2,11,1692
77,"Engineering, Marine",engineering,24735,0.678097029,0.477603092,0.5,0.5,0.51,0.65,15.504,0.15045,0,0,1,5,455
78,"Engineering, Mechanical",engineering,495944,0.78436313,0.865354985,0.5,0.5,0.54,0.756,80.71,0.2559,0,0,2,11,2856
79,"Engineering, Multidisciplinary",engineering,239187,0.782223966,1.108155099,0.5,0.5,0.549,0.74,128.194,0.2395,0,0,2,10,3689
80,"Engineering, Ocean",engineering,35441,0.793997816,0.894823821,0.5,0.5,0.549,0.772,42.799,0.2718,0,0,2,10,1706
81,"Engineering, Petroleum",engineering,35949,0.674500086,0.448715471,0.5,0.5,0.528,0.667,12.086,0.1673,0,0,1,6,649
82,Entomology,biology,123814,0.779713419,0.570110609,0.5,0.548,0.636,0.821,71.207,0.2728,0,3,9,20,4389
83,Environmental Sciences,geography,624421,0.916636392,0.981529005,0.5,0.548,0.664,0.929,92.375,0.3804,0,4,13,33,5342
84,Environmental Studies,geography,121543,0.886973322,0.976710741,0.5,0.5,0.61,0.884,50.593,0.3839,0,0,6,21,2342
85,Ergonomics,engineering,28447,1.00569653,1.582635223,0.5,0.527,0.666,0.992,125.812,0.4652,0,1,8,22,2430
86,Ethics,medicine,54443,0.733365077,0.672950031,0.5,0.5,0.551,0.733,66.433,0.2334,0,0,2,9,854
87,Ethnic Studies,social science,18225,0.654998195,0.610048584,0.5,0.5,0.5,0.625,38.97,0.1251,0,0,0,5,1125
88,Evolutionary Biology,biology,108726,1.089833601,2.615336024,0.5,0.587,0.729,1.052,318.247,0.4657,0,9,23,50,30379
89,Family Studies,social science,47044,0.799855907,0.77749044,0.5,0.512,0.606,0.817,53.227,0.3054,0,1,7,21,3580
90,"Film, Radio, Television",arts,76275,0.529745373,0.181434102,0.5,0.5,0.5,0.5,14.346,0,0,0,0,0,852
91,Fisheries,geography,100189,0.813852314,0.701529638,0.5,0.556,0.652,0.859,115.043,0.3027,0,5,13,28,5571
92,Folklore,arts,18886,0.539147003,0.174740061,0.5,0.5,0.5,0.5,7.859,0,0,0,0,0,80
93,Food Science & Technology,biology,323016,0.858964109,0.918244789,0.5,0.555,0.661,0.897,286.335,0.3416,0,5,13,30,14531
94,Forestry,geography,83960,0.809841691,0.562023727,0.5,0.548,0.645,0.854,23.813,0.306025,0,4,11,25,3221
95,Gastroenterology & Hepatology,medicine,279021,0.884638823,0.962618171,0.5,0.537,0.644,0.893,63.696,0.3558,0,3,11,30,5027
96,Genetics & Heredity,medicine,414992,1.042069007,1.986110621,0.5,0.566,0.69,0.988,318.247,0.4224,0,7,18,43,30379
97,Geochemistry & Geophysics,geography,198808,0.946210757,1.249928485,0.5,0.545,0.666,0.95,131.375,0.4052,0,3,14,36,7587
98,Geography,geography,88293,0.813363883,0.944633372,0.5,0.5,0.558,0.793,83.002,0.2925,0,0,3,15,3794
99,"Geography, Physical",geography,83373,0.873140205,0.854566776,0.5,0.548,0.656,0.896,48.443,0.3477,0,4,14,34,2376
100,Geology,geography,57740,0.786674908,0.629896259,0.5,0.529,0.617,0.815,39.23,0.286225,0,3,10,28,3494
101,"Geosciences, Multidisciplinary",geography,370500,0.852082841,0.803430375,0.5,0.539,0.643,0.873,63.438,0.334,0,3,12,29,4789
102,Geriatrics & Gerontology,medicine,87141,0.839005617,0.96463867,0.5,0.542,0.638,0.85,115.652,0.3084,0,4,13,31,8093
103,Gerontology,social science,57733,0.895287085,1.180782001,0.5,0.523,0.634,0.9,115.652,0.3769,0,2,10,28,8093
104,Health Care Sciences & Services,medicine,153286,1.002591395,2.218822941,0.5,0.539,0.667,0.97,550.589,0.4318,0,2,9,23,21699
105,Health Policy & Services,medicine,91580,0.96254265,2.447605017,0.5,0.535,0.651,0.928,550.589,0.393,0,2,9,22,21699
106,Hematology,medicine,265863,0.929010188,1.044174949,0.5,0.556,0.677,0.948,141.819,0.3921,0,5,15,38,8378
107,History,social science,538369,0.542414305,0.230163864,0.5,0.5,0.5,0.5,22.983,0,0,0,0,0,387
108,History & Philosophy Of Science,psychology,78933,0.643019636,0.468763135,0.5,0.5,0.5,0.613,32.144,0.1125,0,0,0,3,927
109,History Of Social Sciences,social science,42226,0.595272351,0.308616693,0.5,0.5,0.5,0.556,15.379,0.0557,0,0,0,2,295
110,Horticulture,biology,101722,0.736375655,0.560782696,0.5,0.511,0.578,0.756,45.806,0.244975,0,1,5,15,1585
111,"Hospitality, Leisure, Sport & Tourism",social science,33210,0.805251641,0.714365654,0.5,0.5,0.585,0.814,27.642,0.313675,0,0,6,21,1237
112,"Humanities, Multidisciplinary",social science,275336,0.530836335,0.222411842,0.5,0.5,0.5,0.5,32.107,0,0,0,0,0,492
113,Imaging Science & Photographic Technology,science,213498,0.78291575,1.93142454,0.5,0.5,0.529,0.675,611.87,0.1747,0,0,1,6,11543
114,Immunology,medicine,539705,0.966000116,1.152577101,0.5,0.565,0.685,0.966,148.822,0.4003,0,6,17,41,5486
115,Industrial Relations & Labor,law and policy,30869,0.714391227,0.698733483,0.5,0.5,0.507,0.668,30.518,0.1684,0,0,1,8,1346
116,Infectious Diseases,medicine,264843,0.933318523,0.952271028,0.5,0.562,0.686,0.965,109.257,0.40315,0,5,14,33,4314
117,Information Science & Library Science,social science,235808,0.640979033,1.442108613,0.5,0.5,0.5,0.517,381.23,0.0174,0,0,0,1,10326
118,Instruments & Instrumentation,engineering,374414,0.855036775,1.311401462,0.5,0.5,0.591,0.831,363.172,0.3314,0,0,4,13,12708
119,Integrative & Complementary Medicine,medicine,46316,0.763875505,0.526393026,0.5,0.528,0.611,0.793,23.197,0.2652,0,3,10,23,1123
