id,grant_title,group,count,mean,std,min,q1,total_amount,q3,max,box,min_nc,q1_nc,total_amount_nc,q3_nc,max_nc
168,Neurosciences,medicine,802773,0.925881809,1.501765099,0.5,0.555,0.663,0.912,470.92,0.3576,0,6,19,44,14255
169,Nuclear Science & Technology,science,226371,0.830351155,1.154599074,0.5,0.522,0.619,0.846,363.172,0.3239,0,1,5,12,12708
170,Nursing,medicine,115243,0.740119272,0.68447811,0.5,0.51,0.588,0.765,105.9,0.2547,0,1,5,14,6063
171,Nutrition & Dietetics,biology,184954,0.910214868,0.97482542,0.5,0.555,0.67,0.929,102.292,0.374,0,5,16,36,5644
172,Obstetrics & Gynecology,medicine,253579,0.8256276,0.692691411,0.5,0.533,0.632,0.857,90.23,0.3236,0,2,9,23,3003
173,Oceanography,biology,129796,0.893898042,0.848220239,0.5,0.553,0.67,0.933,52.104,0.3793,0,4,15,35,2883
174,Oncology,medicine,658948,0.963669414,1.469873022,0.5,0.56,0.677,0.951,309.531,0.391,0,6,16,39,23307
175,Operations Research & Management Science,management,209646,0.887549317,1.476355185,0.5,0.5,0.58,0.836,280.466,0.3364,0,0,4,16,10660
176,Ophthalmology,medicine,198476,0.850376729,0.864421784,0.5,0.537,0.637,0.864,74.045,0.3267,0,3,9,24,3401
177,Optics,science,733247,0.80884446,1.191011989,0.5,0.5,0.559,0.755,149.184,0.2549,0,0,3,12,8236
178,Ornithology,biology,27090,0.744369483,0.578542209,0.5,0.542,0.617,0.784,67.103,0.24215,0,4,9,20,5056
179,Orthopedics,medicine,182470,0.899615517,0.85109612,0.5,0.552,0.671,0.934,64.16,0.3818,0,4,12,29,3747
180,Otorhinolaryngology,medicine,112020,0.809901706,0.576230403,0.5,0.548,0.646,0.859,42.392,0.3118,0,3,9,20,1912
181,Paleontology,geography,46427,0.792637381,0.505539846,0.5,0.56,0.652,0.843,30.563,0.28305,0,5,12,26,1318
182,Parasitology,biology,88947,0.813978013,0.636738404,0.5,0.569,0.664,0.86,105.35,0.2907,0,6,14,29,4552
183,Pathology,medicine,199223,0.854810102,0.945618585,0.5,0.546,0.649,0.878,148.822,0.3316,0,3,11,27,9017
184,Pediatrics,medicine,334836,0.816741022,0.73783515,0.5,0.531,0.625,0.841,73.412,0.3106,0,2,8,21,5638
185,Peripheral Vascular Disease,medicine,244441,1.053233221,1.596503318,0.5,0.55,0.68,1.01,149.857,0.4604,0,4,15,41,9726
186,Pharmacology & Pharmacy,medicine,783336,0.820004761,0.820562164,0.5,0.544,0.637,0.841,284.109,0.2972,0,4,13,29,14557
187,Philosophy,social science,170363,0.618259849,0.499644652,0.5,0.5,0.5,0.563,51.078,0.0625,0,0,0,1,1412
188,"Physics, Applied",science,1304277,0.934882761,1.778192848,0.5,0.526,0.628,0.884,594.115,0.358,0,2,7,20,53341
189,"Physics, Atomic, Molecular & Chemical",science,366933,0.876206839,1.967860521,0.5,0.557,0.652,0.864,902.725,0.3074,0,5,13,28,16078
190,"Physics, Condensed Matter",science,721107,0.910439833,1.987144904,0.5,0.532,0.623,0.852,594.115,0.32,0,2,8,21,53341
191,"Physics, Fluids & Plasmas",science,181002,0.947177779,1.569678818,0.5,0.546,0.655,0.921,273.687,0.3748,0,3,10,24,7885
192,"Physics, Mathematical",science,213382,0.881802395,1.621683199,0.5,0.532,0.622,0.843,273.687,0.3116,0,2,7,19,20639
193,"Physics, Multidisciplinary",science,516022,0.947674442,2.705121522,0.5,0.517,0.591,0.816,1079.325,0.2994,0,1,5,18,33421
194,"Physics, Nuclear",science,221834,0.830179217,1.3905531,0.5,0.516,0.6,0.815,363.172,0.2988,0,1,5,16,12708
195,"Physics, Particles & Fields",science,294850,0.868868235,1.378341211,0.5,0.522,0.614,0.844,363.172,0.3221,0,2,8,23,12708
196,Physiology,medicine,277439,0.865537362,0.80508528,0.5,0.556,0.663,0.891,51.17,0.33475,0,6,17,38,5586
197,Plant Sciences,biology,445826,0.870524969,0.827710342,0.5,0.556,0.666,0.908,122.522,0.3526,0,5,14,32,13104
198,Poetry,arts,14711,0.529686146,0.11198123,0.5,0.5,0.5,0.5,2.867,0,0,0,0,0,30
199,Political Science,law and policy,211146,0.704683896,0.910236851,0.5,0.5,0.5,0.631,85.201,0.1309,0,0,0,5,2410
200,Polymer Science,science,351950,0.873215342,0.881309732,0.5,0.552,0.653,0.885,72.098,0.3333,0,4,12,28,4996
201,Primary Health Care,medicine,39326,0.749468423,0.669574414,0.5,0.5,0.565,0.767,56.677,0.2669,0,0,3,12,3437
202,Psychiatry,medicine,412363,0.870033875,1.126091861,0.5,0.515,0.619,0.866,240.062,0.3504,0,1,10,31,11429
203,Psychology,psychology,137393,1.026200513,2.023267801,0.5,0.546,0.666,0.966,278.324,0.4192,0,4,15,38,18999
204,"Psychology, Applied",psychology,70540,0.968452515,2.184564045,0.5,0.532,0.651,0.946,372.763,0.4134,0,2,11,31,23345
205,"Psychology, Biological",psychology,40214,0.812818869,0.96440152,0.5,0.527,0.609,0.797,46.746,0.27,0,3,11,28,3049
206,"Psychology, Clinical",psychology,143116,0.916052911,1.138354943,0.5,0.536,0.649,0.919,107.381,0.383,0,3,12,33,9048
207,"Psychology, Developmental",psychology,90676,0.968253553,1.137179503,0.5,0.544,0.675,0.981,96.301,0.4377,0,4,16,40,5974
208,"Psychology, Educational",psychology,44523,0.998610864,1.431791309,0.5,0.531,0.653,0.953,74.674,0.42185,0,2,9,28,3684
209,"Psychology, Experimental",psychology,128177,0.971075551,1.93935685,0.5,0.55,0.66,0.932,443.417,0.3821,0,5,15,37,17111
210,"Psychology, Mathematical",psychology,14236,1.037261942,2.384204318,0.5,0.546,0.664,0.946,166.052,0.40065,0,3,9,25,17111
211,"Psychology, Multidisciplinary",psychology,165218,0.885844437,2.030908662,0.5,0.5,0.577,0.778,278.324,0.2777,0,0,5,19,18999
212,"Psychology, Psychoanalysis",psychology,23717,0.654443538,0.525997085,0.5,0.5,0.5,0.628,24.358,0.1275,0,0,0,3,531
213,"Psychology, Social",psychology,75648,1.039127611,2.089994936,0.5,0.546,0.666,0.972,372.763,0.4269,0,4,14,35,23345
214,Public Administration,management,50971,0.706643529,0.696203473,0.5,0.5,0.519,0.683,85.201,0.18295,0,0,1,8,1982
215,"Public, Environmental & Occupational Health",medicine,471537,0.935257242,1.53351894,0.5,0.54,0.656,0.928,550.589,0.3882,0,3,10,25,21699
216,"Radiology, Nuclear Medicine & Medical Imaging",medicine,435707,0.90370337,1.156325376,0.5,0.533,0.643,0.905,133.234,0.3716,0,2,9,24,8964
217,Rehabilitation,medicine,130223,0.79108275,0.635294163,0.5,0.526,0.618,0.823,35.031,0.2973,0,2,8,21,2462
218,Religion,social science,194689,0.544751319,0.184583289,0.5,0.5,0.5,0.5,15.62,0,0,0,0,0,812
219,Remote Sensing,engineering,133971,0.804531226,1.259121727,0.5,0.5,0.53,0.703,92.375,0.2034,0,0,2,9,4348
220,Reproductive Biology,biology,106773,0.840917638,0.603217299,0.5,0.563,0.667,0.891,37.097,0.3287,0,6,16,34,3003
221,Respiratory System,medicine,214429,0.948189273,1.252119931,0.5,0.541,0.669,0.966,141.099,0.4253,0,3,11,30,8602
